Level,Series ref: CPIQ,Description,Quarter,Weight,Index number
Subgroup,SE9055,Tools and equipment for house and garden,2006Q2,0.45,891.2655971
Subgroup,SE9056,Other household supplies and services,2006Q2,0.93,966.1835749
Subgroup,SE9061,"Medical products, appliances, and equipment",2006Q2,1.13,982.3182711
Subgroup,SE9062,Out-patient services,2006Q2,3.42,730.994152
Subgroup,SE9063,Hospital services,2006Q2,0.68,652.3157208
Subgroup,SE9071,Purchase of vehicles,2006Q2,5.24,976.5625
Subgroup,SE9072,Private transport supplies and services,2006Q2,9.27,891.2655971
Subgroup,SE9073,Passenger transport services,2006Q2,2.73,998.003992
Subgroup,SE9081,Postal services,2006Q2,0.16,664.0106242
Subgroup,SE9082,Telecommunication equipment,2006Q2,0.15,11904.7619
Subgroup,SE9083,Telecommunication services,2006Q2,2.96,1322.751323
Subgroup,SE9091,Audio-visual and computing equipment,2006Q2,1.83,4098.360656
Subgroup,SE9092,Major recreational and cultural equipment,2006Q2,0.42,825.7638315
Subgroup,SE9093,Other recreational equipment and supplies,2006Q2,2.01,931.9664492
Subgroup,SE9094,Recreational and cultural services,2006Q2,2.88,788.0220646
Subgroup,SE9095,"Newspapers, books, and stationery",2006Q2,1.58,722.5433526
Subgroup,SE9096,Accommodation services,2006Q2,0.66,798.7220447
Subgroup,SE9097,Package holidays,2006Q2,0.84,992.0634921
Subgroup,SE9101,Early childhood education,2006Q2,0.35,1127.395716
Subgroup,SE9102,Primary and secondary education,2006Q2,0.7,614.62815
Subgroup,SE9103,Tertiary and other post school education,2006Q2,1.03,664.4518272
Subgroup,SE9111,Personal care,2006Q2,2.14,923.3610342
Subgroup,SE9113,Personal effects,2006Q2,0.58,732.6007326
Subgroup,SE9114,Insurance,2006Q2,1.7,686.8131868
Subgroup,SE9115,Credit services,2006Q2,0.76,1075.268817
Subgroup,SE9116,Other miscellaneous services,2006Q2,1.95,680.735194
Class,SE901101,Fruit,2006Q2,0.87,640.6149904
Class,SE901102,Vegetables,2006Q2,1.33,666.2225183
Class,SE901201,Meat and poultry,2006Q2,2.48,783.6990596
Class,SE901202,Fish and other seafood,2006Q2,0.34,753.0120482
Class,SE901301,Bread and cereals,2006Q2,2.01,846.0236887
Class,SE901302,"Milk, cheese, and eggs",2006Q2,1.57,770.4160247
Class,SE901303,Oils and fats,2006Q2,0.31,672.9475101
Class,SE901304,Food additives and condiments,2006Q2,0.46,843.1703204
Class,SE901305,"Confectionery, nuts, and snacks",2006Q2,1.65,800
Class,SE901306,Other grocery food,2006Q2,0.7,805.8017728
Class,SE901401,"Coffee, tea, and other hot drinks",2006Q2,0.32,780.6401249
Class,SE901402,"Soft drinks, waters, and juices",2006Q2,1.3,779.4232268
Class,SE901501,Restaurant meals,2006Q2,1.79,757.5757576
Class,SE901502,Ready-to-eat food,2006Q2,2.24,730.994152
Class,SE902101,Beer,2006Q2,2.18,771.6049383
Class,SE902102,Wine,2006Q2,1.51,965.2509653
Class,SE902103,Spirits and liqueurs,2006Q2,1.28,803.2128514
Class,SE902200,Cigarettes and tobacco,2006Q2,2.23,366.703337
Class,SE903102,Men's clothing,2006Q2,1.08,1070.663812
Class,SE903103,Women's clothing,2006Q2,2,984.2519685
Class,SE903104,Children's and infants' clothing,2006Q2,0.73,978.4735812
Class,SE903106,Knitting and sewing supplies,2006Q2,0.07,909.0909091
Class,SE903107,Clothing services,2006Q2,0.07,657.0302234
Class,SE903202,Men's footwear,2006Q2,0.24,1200.480192
Class,SE903203,Women's footwear,2006Q2,0.43,996.0159363
Class,SE903204,Children's and infants' footwear,2006Q2,0.12,1004.016064
Class,SE904101,Actual rentals for housing,2006Q2,6.87,789.8894155
Class,SE904201,Purchase of new housing,2006Q2,4.66,638.9776358
Class,SE904301,Property maintenance materials,2006Q2,0.63,755.2870091
Class,SE904302,Property maintenance services,2006Q2,1.61,692.5207756
Class,SE904401,Water supply,2006Q2,0.16,652.7415144
Class,SE904402,Refuse disposal and recycling,2006Q2,0.12,505.5611729
Class,SE904403,Local authority rates and payments,2006Q2,2.16,563.6978579
Class,SE904501,Electricity,2006Q2,3.29,657.8947368
Class,SE904502,Gas,2006Q2,0.4,691.5629322
Class,SE904503,Solid fuels,2006Q2,0.13,723.065799
Class,SE905101,Furniture and furnishings,2006Q2,1.59,1077.586207
Class,SE905102,Carpets and other floor coverings,2006Q2,0.49,865.0519031
Class,SE905200,Household textiles,2006Q2,0.53,972.7626459
Class,SE905301,Major household appliances,2006Q2,0.89,1091.703057
Class,SE905302,Small electrical household appliances,2006Q2,0.15,1166.861144
Class,SE905303,Repair and hire of household appliances,2006Q2,0.13,693.481276
Class,SE905400,"Glassware, tableware, and household utensils",2006Q2,0.35,999.000999
Class,SE905501,Major tools and equipment for the house and garden,2006Q2,0.18,889.6797153
Class,SE905502,Small tools and accessories for the house and garden,2006Q2,0.27,896.8609865
Class,SE905601,Cleaning products and other household supplies,2006Q2,0.77,1061.571125
Class,SE905602,Other household services,2006Q2,0.16,710.2272727
Class,SE906101,Pharmaceutical products,2006Q2,0.77,1008.064516
Class,SE906102,Other medical products,2006Q2,0.04,851.7887564
Class,SE906103,Therapeutic appliances and equipment,2006Q2,0.33,937.2071228
Class,SE906201,Medical services,2006Q2,2.09,762.195122
Class,SE906202,Dental services,2006Q2,0.86,661.3756614
Class,SE906203,Paramedical services,2006Q2,0.47,754.147813
Class,SE906300,Hospital services,2006Q2,0.68,652.3157208
Class,SE907101,Purchase of new motor cars,2006Q2,1.69,1094.091904
Class,SE907102,Purchase of second-hand motor cars,2006Q2,3.3,904.159132
Class,SE907103,Purchase of motorcycles,2006Q2,0.19,1062.699256
Class,SE907104,Purchase of bicycles,2006Q2,0.05,1226.993865
Class,SE907201,Vehicle parts and accessories,2006Q2,0.72,772.797527
Class,SE907202,Petrol,2006Q2,5.38,892.8571429
Class,SE907203,Other vehicle fuels and lubricants,2006Q2,0.44,1017.293998
Class,SE907204,Vehicle servicing and repairs,2006Q2,1.48,733.6757153
Class,SE907205,Other private transport services,2006Q2,1.27,1135.07378
Class,SE907301,Rail passenger transport,2006Q2,0.08,620.7324643
Class,SE907302,Road passenger transport,2006Q2,0.46,757.002271
Class,SE907303,Domestic air transport,2006Q2,0.73,961.5384615
Class,SE907304,International air transport,2006Q2,1.36,1140.250855
Class,SE907305,Sea passenger transport,2006Q2,0.1,851.7887564
Class,SE908100,Postal services,2006Q2,0.16,664.0106242
Class,SE908200,Telecommunication equipment,2006Q2,0.15,11904.7619
Class,SE908300,Telecommunication services,2006Q2,2.96,1322.751323
Class,SE909101,Audio-visual equipment,2006Q2,0.94,6944.444444
Class,SE909102,Computing equipment,2006Q2,0.49,3584.229391
Class,SE909103,Recording media,2006Q2,0.4,1436.781609
Class,SE909200,Major recreational and cultural equipment,2006Q2,0.42,825.7638315
Class,SE909301,"Games, toys, and hobbies",2006Q2,0.37,1385.041551
Class,SE909302,"Equipment for sport, camping, and outdoor recreation",2006Q2,0.47,1101.321586
Class,SE909303,"Plants, flowers, and gardening supplies",2006Q2,0.57,804.5052293
Class,SE909304,Pet-related products,2006Q2,0.59,710.227273
Class,SE909401,Recreational and sporting services,2006Q2,1.01,760.4562738
Class,SE909402,Cultural services,2006Q2,1.63,824.4023083
Class,SE909403,Veterinary services,2006Q2,0.24,696.3788301
Class,SE909501,Books,2006Q2,0.45,855.4319932
Class,SE909502,Newspapers and magazines,2006Q2,0.87,624.609619
Class,SE909504,Stationery and drawing materials,2006Q2,0.26,787.4015748
Class,SE909600,Accommodation services,2006Q2,0.66,798.7220447
Class,SE909700,Package holidays,2006Q2,0.84,992.0634921
Class,SE910100,Early childhood education,2006Q2,0.35,1127.395716
Class,SE910200,Primary and secondary education,2006Q2,0.7,614.62815
Class,SE910300,Tertiary and other post school education,2006Q2,1.03,664.4518272
Class,SE911101,Hairdressing and personal grooming services,2006Q2,0.67,733.1378299
Class,SE911102,Electrical appliances for personal care,2006Q2,0.02,1173.70892
Class,SE911103,"Other appliances, articles, and products for personal care",2006Q2,1.44,1033.057851
Class,SE911301,Jewellery and watches,2006Q2,0.37,619.1950464
Class,SE911302,Other personal effects,2006Q2,0.22,1081.081081
Class,SE911401,Life insurance,2006Q2,0.69,895.2551477
Class,SE911402,Dwelling insurance,2006Q2,0.19,289.6871379
Class,SE911403,Contents insurance,2006Q2,0.25,684.9315068
Class,SE911404,Health insurance,2006Q2,0.18,492.3682915
Class,SE911405,Vehicle insurance,2006Q2,0.38,813.0081301
Class,SE911501,Credit services,2006Q2,0.76,1075.268817
Class,SE911601,Vocational services,2006Q2,0.3,755.8578987
Class,SE911602,Professional services,2006Q2,0.35,578.7037037
Class,SE911603,Real estate services,2006Q2,1.11,645.994832
Class,SE911604,Other miscellaneous services not elsewhere classified,2006Q2,0.19,719.9424046
All groups,SE9A,All groups CPI,2006Q3,100,821.37031
Group,SE901,Food,2006Q3,17.61,775.0759878
Group,SE902,Alcoholic beverages and tobacco,2006Q3,7.27,638.5920805
Group,SE903,Clothing and footwear,2006Q3,4.69,994.98998
Group,SE904,Housing and household utilities,2006Q3,20.27,707.6388889
Group,SE905,Household contents and services,2006Q3,5.51,1004.98008
Group,SE906,Health,2006Q3,5.16,758.9900536
Group,SE907,Transport,2006Q3,16.91,922.5023343
Group,SE908,Communication,2006Q3,3.23,1411.598303
Group,SE909,Recreation and culture,2006Q3,10.14,1048.268625
Group,SE910,Education,2006Q3,2.07,697.2860125
Group,SE911,Miscellaneous goods and services,2006Q3,7.14,786.8852459
Subgroup,SE9011,Fruit and vegetables,2006Q3,2.48,740.6679764
Subgroup,SE9012,"Meat, poultry, and fish",2006Q3,2.83,782.6086957
Subgroup,SE9013,Grocery food,2006Q3,6.65,800.9630819
Subgroup,SE9014,Non-alcoholic beverages,2006Q3,1.62,781.152648
Subgroup,SE9015,Restaurant meals and ready-to-eat food,2006Q3,4.05,751.1144131
Subgroup,SE9021,Alcoholic beverages,2006Q3,5.05,858.9420655
Subgroup,SE9022,Cigarettes and tobacco,2006Q3,2.22,366.703337
Subgroup,SE9031,Clothing,2006Q3,3.9,988.0834161
Subgroup,SE9032,Footwear,2006Q3,0.78,1027.083333
Subgroup,SE9041,Actual rentals for housing,2006Q3,6.84,792.2590837
Subgroup,SE9042,Home ownership,2006Q3,4.72,652.3961661
Subgroup,SE9043,Property maintenance,2006Q3,2.26,717.5141243
Subgroup,SE9044,Property rates and related services,2006Q3,2.59,607.8542971
Subgroup,SE9045,Household energy,2006Q3,3.86,673.9562624
Subgroup,SE9051,"Furniture, furnishings, and floor coverings",2006Q3,2.11,1041.666667
Subgroup,SE9052,Household textiles,2006Q3,0.52,960.1167315
Subgroup,SE9053,Household appliances,2006Q3,1.15,1047.368421
Subgroup,SE9054,"Glassware, tableware, and household utensils",2006Q3,0.35,1007.992008
Subgroup,SE9055,Tools and equipment for house and garden,2006Q3,0.45,894.8306595
Subgroup,SE9056,Other household supplies and services,2006Q3,0.93,973.9130435
Subgroup,SE9061,"Medical products, appliances, and equipment",2006Q3,1.13,982.3182711
Subgroup,SE9062,Out-patient services,2006Q3,3.34,717.8362573
Subgroup,SE9063,Hospital services,2006Q3,0.69,673.8421396
Subgroup,SE9071,Purchase of vehicles,2006Q3,5.01,940.4296875
Subgroup,SE9072,Private transport supplies and services,2006Q3,9.15,885.9180036
Subgroup,SE9073,Passenger transport services,2006Q3,2.75,1013.972056
Subgroup,SE9081,Postal services,2006Q3,0.16,664.0106242
Subgroup,SE9082,Telecommunication equipment,2006Q3,0.14,11452.38095
Subgroup,SE9083,Telecommunication services,2006Q3,2.94,1322.751323
Subgroup,SE9091,Audio-visual and computing equipment,2006Q3,1.76,3971.311475
Subgroup,SE9092,Major recreational and cultural equipment,2006Q3,0.42,830.7184145
Subgroup,SE9093,Other recreational equipment and supplies,2006Q3,1.98,928.2385834
Subgroup,SE9094,Recreational and cultural services,2006Q3,2.87,788.0220646
Subgroup,SE9095,"Newspapers, books, and stationery",2006Q3,1.6,740.6069364
Subgroup,SE9096,Accommodation services,2006Q3,0.66,805.9105431
Subgroup,SE9097,Package holidays,2006Q3,0.84,1004.960317
Subgroup,SE9101,Early childhood education,2006Q3,0.35,1138.669673
Subgroup,SE9102,Primary and secondary education,2006Q3,0.69,614.62815
Subgroup,SE9103,Tertiary and other post school education,2006Q3,1.03,664.4518272
Subgroup,SE9111,Personal care,2006Q3,2.13,926.1311173
Subgroup,SE9113,Personal effects,2006Q3,0.6,750.9157509
Subgroup,SE9114,Insurance,2006Q3,1.7,690.9340659
Subgroup,SE9115,Credit services,2006Q3,0.75,1075.268817
Subgroup,SE9116,Other miscellaneous services,2006Q3,1.97,690.2654867
Class,SE901101,Fruit,2006Q3,0.95,700.8327995
Class,SE901102,Vegetables,2006Q3,1.53,769.4870087
Class,SE901201,Meat and poultry,2006Q3,2.48,789.184953
Class,SE901202,Fish and other seafood,2006Q3,0.34,763.5542169
Class,SE901301,Bread and cereals,2006Q3,1.99,846.0236887
Class,SE901302,"Milk, cheese, and eggs",2006Q3,1.51,746.5331279
Class,SE901303,Oils and fats,2006Q3,0.31,680.3499327
Class,SE901304,Food additives and condiments,2006Q3,0.48,876.8971332
Class,SE901305,"Confectionery, nuts, and snacks",2006Q3,1.65,804
Class,SE901306,Other grocery food,2006Q3,0.7,813.0539887
Class,SE901401,"Coffee, tea, and other hot drinks",2006Q3,0.32,797.0335675
Class,SE901402,"Soft drinks, waters, and juices",2006Q3,1.29,778.6438036
Class,SE901501,Restaurant meals,2006Q3,1.79,762.8787879
Class,SE901502,Ready-to-eat food,2006Q3,2.26,741.9590643
Class,SE902101,Beer,2006Q3,2.22,790.8950617
Class,SE902102,Wine,2006Q3,1.52,975.8687259
Class,SE902103,Spirits and liqueurs,2006Q3,1.31,829.7188755
Class,SE902200,Cigarettes and tobacco,2006Q3,2.22,366.703337
Class,SE903102,Men's clothing,2006Q3,1.06,1058.88651
Class,SE903103,Women's clothing,2006Q3,1.98,980.3149606
Class,SE903104,Children's and infants' clothing,2006Q3,0.72,973.5812133
Class,SE903106,Knitting and sewing supplies,2006Q3,0.07,908.1818182
Class,SE903107,Clothing services,2006Q3,0.08,671.4848883
Class,SE903202,Men's footwear,2006Q3,0.24,1164.465786
Class,SE903203,Women's footwear,2006Q3,0.43,992.0318725
Class,SE903204,Children's and infants' footwear,2006Q3,0.12,985.9437751
Class,SE904101,Actual rentals for housing,2006Q3,6.84,792.2590837
Class,SE904201,Purchase of new housing,2006Q3,4.72,652.3961661
Class,SE904301,Property maintenance materials,2006Q3,0.63,759.0634441
Class,SE904302,Property maintenance services,2006Q3,1.63,706.3711911
Class,SE904401,Water supply,2006Q3,0.17,687.3368146
Class,SE904402,Refuse disposal and recycling,2006Q3,0.13,550.5561173
Class,SE904403,Local authority rates and payments,2006Q3,2.29,602.0293123
Class,SE904501,Electricity,2006Q3,3.32,667.7631579
Class,SE904502,Gas,2006Q3,0.41,713.0013831
Class,SE904503,Solid fuels,2006Q3,0.13,741.142444
Class,SE905101,Furniture and furnishings,2006Q3,1.62,1107.758621
Class,SE905102,Carpets and other floor coverings,2006Q3,0.49,878.8927336
Class,SE905200,Household textiles,2006Q3,0.52,960.1167315
Class,SE905301,Major household appliances,2006Q3,0.87,1081.877729
Class,SE905302,Small electrical household appliances,2006Q3,0.15,1176.196033
Class,SE905303,Repair and hire of household appliances,2006Q3,0.13,699.0291262
Class,SE905400,"Glassware, tableware, and household utensils",2006Q3,0.35,1007.992008
Class,SE905501,Major tools and equipment for the house and garden,2006Q3,0.18,893.2384342
Class,SE905502,Small tools and accessories for the house and garden,2006Q3,0.27,900.4484305
Class,SE905601,Cleaning products and other household supplies,2006Q3,0.77,1071.125265
Class,SE905602,Other household services,2006Q3,0.16,713.0681818
Class,SE906101,Pharmaceutical products,2006Q3,0.76,1007.056452
Class,SE906102,Other medical products,2006Q3,0.04,856.0477002
Class,SE906103,Therapeutic appliances and equipment,2006Q3,0.33,940.0187441
Class,SE906201,Medical services,2006Q3,2,735.5182927
Class,SE906202,Dental services,2006Q3,0.87,669.973545
Class,SE906203,Paramedical services,2006Q3,0.47,754.147813
Class,SE906300,Hospital services,2006Q3,0.69,673.8421396
Class,SE907101,Purchase of new motor cars,2006Q3,1.64,1065.645514
Class,SE907102,Purchase of second-hand motor cars,2006Q3,3.13,862.5678119
Class,SE907103,Purchase of motorcycles,2006Q3,0.19,1069.075452
Class,SE907104,Purchase of bicycles,2006Q3,0.05,1244.171779
Class,SE907201,Vehicle parts and accessories,2006Q3,0.73,791.3446677
Class,SE907202,Petrol,2006Q3,5.3,885.7142857
Class,SE907203,Other vehicle fuels and lubricants,2006Q3,0.43,998.982706
Class,SE907204,Vehicle servicing and repairs,2006Q3,1.48,741.7461482
Class,SE907205,Other private transport services,2006Q3,1.22,1098.751419
Class,SE907301,Rail passenger transport,2006Q3,0.08,638.7337058
Class,SE907302,Road passenger transport,2006Q3,0.46,765.329296
Class,SE907303,Domestic air transport,2006Q3,0.75,991.3461538
Class,SE907304,International air transport,2006Q3,1.36,1143.671608
Class,SE907305,Sea passenger transport,2006Q3,0.11,922.4872232
Class,SE908100,Postal services,2006Q3,0.16,664.0106242
Class,SE908200,Telecommunication equipment,2006Q3,0.14,11452.38095
Class,SE908300,Telecommunication services,2006Q3,2.94,1322.751323
Class,SE909101,Audio-visual equipment,2006Q3,0.89,6597.222222
Class,SE909102,Computing equipment,2006Q3,0.48,3555.555556
Class,SE909103,Recording media,2006Q3,0.39,1416.666667
Class,SE909200,Major recreational and cultural equipment,2006Q3,0.42,830.7184145
Class,SE909301,"Games, toys, and hobbies",2006Q3,0.36,1361.495845
Class,SE909302,"Equipment for sport, camping, and outdoor recreation",2006Q3,0.47,1092.511013
Class,SE909303,"Plants, flowers, and gardening supplies",2006Q3,0.57,807.7232502
Class,SE909304,Pet-related products,2006Q3,0.58,708.806818
Class,SE909401,Recreational and sporting services,2006Q3,1.01,761.21673
Class,SE909402,Cultural services,2006Q3,1.61,821.9291014
Class,SE909403,Veterinary services,2006Q3,0.24,713.7883008
Class,SE909501,Books,2006Q3,0.45,874.251497
Class,SE909502,Newspapers and magazines,2006Q3,0.88,634.6033729
Class,SE909504,Stationery and drawing materials,2006Q3,0.28,832.2834646
Class,SE909600,Accommodation services,2006Q3,0.66,805.9105431
Class,SE909700,Package holidays,2006Q3,0.84,1004.960317
Class,SE910100,Early childhood education,2006Q3,0.35,1138.669673
Class,SE910200,Primary and secondary education,2006Q3,0.69,614.62815
Class,SE910300,Tertiary and other post school education,2006Q3,1.03,664.4518272
Class,SE911101,Hairdressing and personal grooming services,2006Q3,0.68,744.8680352
Class,SE911102,Electrical appliances for personal care,2006Q3,0.02,1200.704225
Class,SE911103,"Other appliances, articles, and products for personal care",2006Q3,1.43,1028.92562
Class,SE911301,Jewellery and watches,2006Q3,0.38,642.1052632
Class,SE911302,Other personal effects,2006Q3,0.21,1086.486486
Class,SE911401,Life insurance,2006Q3,0.69,895.2551477
Class,SE911402,Dwelling insurance,2006Q3,0.18,289.6871379
Class,SE911403,Contents insurance,2006Q3,0.25,685.6164384
Class,SE911404,Health insurance,2006Q3,0.19,516.9867061
Class,SE911405,Vehicle insurance,2006Q3,0.38,815.4471545
Class,SE911501,Credit services,2006Q3,0.75,1075.268817
Class,SE911601,Vocational services,2006Q3,0.29,757.3696145
Class,SE911602,Professional services,2006Q3,0.35,582.7546296
Class,SE911603,Real estate services,2006Q3,1.12,655.0387597
Class,SE911604,Other miscellaneous services not elsewhere classified,2006Q3,0.2,755.2195824
All groups,SE9A,All groups CPI,2006Q4,100,819.7389886
Group,SE901,Food,2006Q4,17.72,778.8753799
Group,SE902,Alcoholic beverages and tobacco,2006Q4,7.32,641.734758
Group,SE903,Clothing and footwear,2006Q4,4.71,998.997996
Group,SE904,Housing and household utilities,2006Q4,20.49,713.8888889
Group,SE905,Household contents and services,2006Q4,5.52,1004.98008
Group,SE906,Health,2006Q4,5.18,760.5202754
Group,SE907,Transport,2006Q4,16.28,886.0877684
Group,SE908,Communication,2006Q4,3.23,1410.183876
Group,SE909,Recreation and culture,2006Q4,10.3,1064.008395
Group,SE910,Education,2006Q4,2.07,695.8942241
Group,SE911,Miscellaneous goods and services,2006Q4,7.19,790.7884465
Subgroup,SE9011,Fruit and vegetables,2006Q4,2.44,727.5703995
Subgroup,SE9012,"Meat, poultry, and fish",2006Q4,2.94,812.8881988
Subgroup,SE9013,Grocery food,2006Q4,6.65,800.9630819
Subgroup,SE9014,Non-alcoholic beverages,2006Q4,1.61,776.4797508
Subgroup,SE9015,Restaurant meals and ready-to-eat food,2006Q4,4.08,756.3150074
Subgroup,SE9021,Alcoholic beverages,2006Q4,5.07,860.6213266
Subgroup,SE9022,Cigarettes and tobacco,2006Q4,2.25,371.103777
Subgroup,SE9031,Clothing,2006Q4,3.93,993.0486594
Subgroup,SE9032,Footwear,2006Q4,0.78,1027.083333
Subgroup,SE9041,Actual rentals for housing,2006Q4,6.9,797.7883096
Subgroup,SE9042,Home ownership,2006Q4,4.78,658.7859425
Subgroup,SE9043,Property maintenance,2006Q4,2.28,723.1638418
Subgroup,SE9044,Property rates and related services,2006Q4,2.62,613.5458167
Subgroup,SE9045,Household energy,2006Q4,3.91,682.5712392
Subgroup,SE9051,"Furniture, furnishings, and floor coverings",2006Q4,2.09,1032.520325
Subgroup,SE9052,Household textiles,2006Q4,0.52,953.307393
Subgroup,SE9053,Household appliances,2006Q4,1.16,1055.789474
Subgroup,SE9054,"Glassware, tableware, and household utensils",2006Q4,0.35,1003.996004
Subgroup,SE9055,Tools and equipment for house and garden,2006Q4,0.45,894.8306595
Subgroup,SE9056,Other household supplies and services,2006Q4,0.94,987.4396135
Subgroup,SE9061,"Medical products, appliances, and equipment",2006Q4,1.1,956.7779961
Subgroup,SE9062,Out-patient services,2006Q4,3.37,722.9532164
Subgroup,SE9063,Hospital services,2006Q4,0.71,687.5407697
Subgroup,SE9071,Purchase of vehicles,2006Q4,5.07,949.21875
Subgroup,SE9072,Private transport supplies and services,2006Q4,8.3,802.1390374
Subgroup,SE9073,Passenger transport services,2006Q4,2.91,1069.860279
Subgroup,SE9081,Postal services,2006Q4,0.16,673.3067729
Subgroup,SE9082,Telecommunication equipment,2006Q4,0.13,10928.57143
Subgroup,SE9083,Telecommunication services,2006Q4,2.94,1322.751323
Subgroup,SE9091,Audio-visual and computing equipment,2006Q4,1.71,3868.852459
Subgroup,SE9092,Major recreational and cultural equipment,2006Q4,0.42,834.8472337
Subgroup,SE9093,Other recreational equipment and supplies,2006Q4,2.02,943.1500466
Subgroup,SE9094,Recreational and cultural services,2006Q4,2.89,793.5382191
Subgroup,SE9095,"Newspapers, books, and stationery",2006Q4,1.64,753.6127168
Subgroup,SE9096,Accommodation services,2006Q4,0.69,835.4632588
Subgroup,SE9097,Package holidays,2006Q4,0.93,1110.119048
Subgroup,SE9101,Early childhood education,2006Q4,0.35,1129.650507
Subgroup,SE9102,Primary and secondary education,2006Q4,0.7,614.62815
Subgroup,SE9103,Tertiary and other post school education,2006Q4,1.03,664.4518272
Subgroup,SE9111,Personal care,2006Q4,2.14,929.8245614
Subgroup,SE9113,Personal effects,2006Q4,0.6,761.1721612
Subgroup,SE9114,Insurance,2006Q4,1.7,691.6208791
Subgroup,SE9115,Credit services,2006Q4,0.75,1068.817204
Subgroup,SE9116,Other miscellaneous services,2006Q4,1.99,699.1150442
Class,SE901101,Fruit,2006Q4,1.11,817.4247277
Class,SE901102,Vegetables,2006Q4,1.33,668.2211859
Class,SE901201,Meat and poultry,2006Q4,2.59,822.8840125
Class,SE901202,Fish and other seafood,2006Q4,0.35,771.0843373
Class,SE901301,Bread and cereals,2006Q4,2.01,850.2538071
Class,SE901302,"Milk, cheese, and eggs",2006Q4,1.47,721.1093991
Class,SE901303,Oils and fats,2006Q4,0.31,683.7146703
Class,SE901304,Food additives and condiments,2006Q4,0.48,877.7403035
Class,SE901305,"Confectionery, nuts, and snacks",2006Q4,1.68,818.4
Class,SE901306,Other grocery food,2006Q4,0.72,824.3352135
Class,SE901401,"Coffee, tea, and other hot drinks",2006Q4,0.32,783.7626854
Class,SE901402,"Soft drinks, waters, and juices",2006Q4,1.29,775.5261107
Class,SE901501,Restaurant meals,2006Q4,1.81,768.1818182
Class,SE901502,Ready-to-eat food,2006Q4,2.28,747.0760234
Class,SE902101,Beer,2006Q4,2.22,790.8950617
Class,SE902102,Wine,2006Q4,1.54,987.4517375
Class,SE902103,Spirits and liqueurs,2006Q4,1.31,824.8995984
Class,SE902200,Cigarettes and tobacco,2006Q4,2.25,371.103777
Class,SE903102,Men's clothing,2006Q4,1.07,1069.593148
Class,SE903103,Women's clothing,2006Q4,1.98,978.3464567
Class,SE903104,Children's and infants' clothing,2006Q4,0.73,988.258317
Class,SE903106,Knitting and sewing supplies,2006Q4,0.07,925.4545455
Class,SE903107,Clothing services,2006Q4,0.08,674.7700394
Class,SE903202,Men's footwear,2006Q4,0.24,1164.465786
Class,SE903203,Women's footwear,2006Q4,0.43,993.0278884
Class,SE903204,Children's and infants' footwear,2006Q4,0.12,981.9277108
Class,SE904101,Actual rentals for housing,2006Q4,6.9,797.7883096
Class,SE904201,Purchase of new housing,2006Q4,4.78,658.7859425
Class,SE904301,Property maintenance materials,2006Q4,0.63,763.5951662
Class,SE904302,Property maintenance services,2006Q4,1.65,712.6038781
Class,SE904401,Water supply,2006Q4,0.18,708.2245431
Class,SE904402,Refuse disposal and recycling,2006Q4,0.14,573.8119312
Class,SE904403,Local authority rates and payments,2006Q4,2.3,605.4114994
Class,SE904501,Electricity,2006Q4,3.35,673.6842105
Class,SE904502,Gas,2006Q4,0.43,746.1964039
